NCBI Symbol	NCBI Gene ID	group
CENPA	1058	core-kinetochore
CENPC1	1060	core-kinetochore
CENPH	64946	core-kinetochore
CENPI	2491	core-kinetochore
CENPK	64105	core-kinetochore
MLF1IP	79682	core-kinetochore
CENPO	79172	core-kinetochore
CENPP	401541	core-kinetochore
CENPQ	55166	core-kinetochore
ITGB3BP	23421	core-kinetochore
CENPL	91687	core-kinetochore
CENPM	79019	core-kinetochore
CENPN	55839	core-kinetochore
CENPT	80152	core-kinetochore
CENPW	387103	core-kinetochore
MIS18A	54069	core-kinetochore
OIP5	11339	core-kinetochore
MIS18BP1	55320	core-kinetochore
HJURP	55355	core-kinetochore
MIS12	79003	core-kinetochore
DSN1	79980	core-kinetochore
PMF1	11243	core-kinetochore
NSL1	25936	core-kinetochore
NDC80	10403	core-kinetochore
NUF2	83540	core-kinetochore
SPC24	147841	core-kinetochore
SPC25	57405	core-kinetochore
CASC5	57082	core-kinetochore
ZWINT	11130	core-kinetochore
KNTC1	9735	core-kinetochore
ZW10	9183	core-kinetochore
ZWILCH	55055	core-kinetochore
SPDL1	54908	core-kinetochore
KNSTRN	90417	core-kinetochore
SPAG5	10615	core-kinetochore
CENPF	1063	core-kinetochore
SKA1	220134	core-kinetochore
SKA2	348235	core-kinetochore
SKA3	221150	core-kinetochore
KIF2C	11004	core-kinetochore
CENPE	1062	core-kinetochore
MAD1L1	8379	core-kinetochore
BUB1	699	core-kinetochore
BUB3	9184	core-kinetochore
BUB1B	701	core-kinetochore
MAD2L1	4085	core-kinetochore
MAD2L1BP	9587	core-kinetochore
TTK	7272	core-kinetochore
AURKB	9212	core-kinetochore
INCENP	3619	core-kinetochore
BIRC5	332	core-kinetochore
CDCA8	55143	core-kinetochore
GSG2	83903	core-kinetochore
SGOL1	151648	core-kinetochore
SGOL2	151246	core-kinetochore
PLK1	5347	core-kinetochore
CENPB	1059	multifunctional-kinetochore
APITD1	378708	multifunctional-kinetochore
STRA13	201254	multifunctional-kinetochore
DYNLL1	8655	multifunctional-kinetochore
DYNLL2	140735	multifunctional-kinetochore
NDE1	54820	multifunctional-kinetochore
NDEL1	81565	multifunctional-kinetochore
DYNC1H1	1778	multifunctional-kinetochore
DYNC1I1	1780	multifunctional-kinetochore
DYNC1I2	1781	multifunctional-kinetochore
DYNC1LI1	51143	multifunctional-kinetochore
DYNC1LI2	1783	multifunctional-kinetochore
DYNLT1	6993	multifunctional-kinetochore
DYNLT3	6990	multifunctional-kinetochore
DYNLRB1	83658	multifunctional-kinetochore
DYNLRB2	83657	multifunctional-kinetochore
DCTN1	1639	multifunctional-kinetochore
DCTN2	10540	multifunctional-kinetochore
DCTN3	11258	multifunctional-kinetochore
DCTN4	51164	multifunctional-kinetochore
DCTN5	84516	multifunctional-kinetochore
DCTN6	10671	multifunctional-kinetochore
ACTR1B	10120	multifunctional-kinetochore
ACTR1A	10121	multifunctional-kinetochore
ACTR10	55860	multifunctional-kinetochore
CLASP1	23332	multifunctional-kinetochore
CLASP2	23122	multifunctional-kinetochore
CLIP1	6249	multifunctional-kinetochore
BOD1	91272	multifunctional-kinetochore
NUP107	57122	multifunctional-kinetochore
NUP85	79902	multifunctional-kinetochore
NUP133	55746	multifunctional-kinetochore
NUP160	23279	multifunctional-kinetochore
NUP98	4928	multifunctional-kinetochore
NUP37	79023	multifunctional-kinetochore
NUP43	348995	multifunctional-kinetochore
SEC13	6396	multifunctional-kinetochore
SEH1L	81929	multifunctional-kinetochore
AHCTF1	25909	multifunctional-kinetochore
PTTG1	9232	cell-cycle
ESPL1	9700	cell-cycle
FZR1	51343	cell-cycle
CDC20	991	cell-cycle
SMC3	9126	cell-cycle
Rad21	5885	cell-cycle
SMC2	10592	cell-cycle
NCAPD2	9918	cell-cycle
NCAPD3	23310	cell-cycle
PLK4	10733	cell-cycle
CENPJ	55835	cell-cycle
SASS6	163786	cell-cycle
CDC34	997	cell-cycle
MASTL	84930	cell-cycle
AURKA	6790	cell-cycle
CDK1	983	cell-cycle
CCNB1	891	cell-cycle
CCNB2	9133	cell-cycle
CCNA1	8900	cell-cycle
CCNA2	890	cell-cycle
ECT2	1894	cell-cycle
NEK2	4751	cell-cycle
CDC6	990	cell-cycle
CDT1	81620	cell-cycle
MCM2	4171	cell-cycle
MCM3	4172	cell-cycle
MCM4	4173	cell-cycle
MCM5	4174	cell-cycle
MCM6	4175	cell-cycle
MCM7	4176	cell-cycle
CDC7	8317	cell-cycle
DBF4	10926	cell-cycle
CDC45	8318	cell-cycle
ORC1	4998	cell-cycle
ORC2	4999	cell-cycle
ORC3	23595	cell-cycle
ORC4	5000	cell-cycle
ORC5	5001	cell-cycle
ORC6	23594	cell-cycle
PCNA	5111	cell-cycle
GINS1	9837	cell-cycle
GINS2	51659	cell-cycle
GINS3	64785	cell-cycle
GINS4	84296	cell-cycle
