Sample	Chr	sWGS	FISH.mean	FISH.sd
NET-133	3	2	2.3	1.04
NET-133	7	2	2.42	0.86
NET-133	10	2	2.2	0.83
NET-133	17	2	1.88	0.72
NET-133	18	2	2.42	1.01
NET-134	3	3		
NET-134	7	4	4.58	1.09
NET-134	10	2	2.92	0.85
NET-134	17	4	4.32	1.04
NET-134	18	3		
NET-137	3	2	2.08	0.75
NET-137	7	2	1.62	0.53
NET-137	10	2	2.06	0.62
NET-137	17	2	1.8	0.64
NET-137	18	2	1.74	0.53
NET-107	3	2	1.7	0.58
NET-107	7	2	1.96	0.45
NET-107	10	2	1.88	0.48
NET-107	17	2	1.9	0.61
NET-107	18	1	1.08	0.27
NET-106	3	2	2.1	0.76
NET-106	7	2	2.14	0.83
NET-106	10	2	2	0.67
NET-106	17	2	2.06	0.68
NET-106	18	2	2.1	0.71
NET-109	3	2	2.14	0.73
NET-109	7	2	2.26	0.53
NET-109	10	2	1.84	0.37
NET-109	17	2	1.82	0.39
NET-109	18	1	1.14	0.4
NET-104	3	2	2.2	0.81
NET-104	7	2	2.26	0.75
NET-104	10	2	2.02	0.62
NET-104	17	2	1.92	0.44
NET-104	18	2	1.64	0.66
NET-116	3	2	2.12	0.72
NET-116	7	2	3.08	0.63
NET-116	10	2	1.88	0.52
NET-116	17	2	1.9	0.51
NET-116	18	2	1.08	0.27
NET-102	3	2	1.76	0.48
NET-102	7	4	3.44	0.86
NET-102	10	1	1.22	0.46
NET-102	17	2	1.78	0.42
NET-102	18	3	1.06	0.24
NET-105	3	1	1.16	0.37
NET-105	7	2	2.08	0.57
NET-105	10	2	1.46	0.73
NET-105	17	2	1.82	0.66
NET-105	18	1	1.28	0.5
NET-103	3	3	3.4	0.76
NET-103	7	4	3.7	0.76
NET-103	10	2	1.88	0.33
NET-103	17	3	2.94	0.84
NET-103	18	3.5	3.2	0.83
NET-117	3	2		
NET-117	7	3	3.28	0.95
NET-117	10	2	1.84	0.58
NET-117	17	3	2.72	0.73
NET-117	18	3		
