Sample	Chromosome	Start.bp	End.bp	modal_A2f	N.modal_A2modal_A1F	sd.modal_A2modal_A1F	depth.ratio	N.ratio	sd.ratio	CNt	modal_A1	modal_A2	LPP	LOH	length
NET-002-T_2	chr1	721757	1570182	0.426515047384461	147	0.0777001906992717	1.03505862034999	3349	0.312613534135583	2	1	1	-6.76083623749531	0	848425
NET-002-T_2	chr1	1575836	1599888	0.249787477363533	10	0.0529867908067662	1.11928622846346	176	0.423325477924186	5	4	1	-6.87255187141749	0	24052
NET-002-T_2	chr1	1635004	12640650	0.437084954876816	445	0.0693876913851492	1.01693855869281	15758	0.295912907671968	2	1	1	-6.83325539094835	0	11005646
NET-002-T_2	chr1	12907136	14068726	0.32713156110393	41	0.139104680708889	1.03831824992975	485	0.461866632958626	2	1	1	-6.95177006355496	0	1161590
NET-002-T_2	chr1	14507057	16863213	0.416271758785924	152	0.0822001715521731	1.0123212774959	3804	0.289184223096876	2	1	1	-6.73738981780871	0	2356156
NET-002-T_2	chr1	16863304	17319144	0.346764767119246	190	0.0923151654930303	1.11686343350524	1246	0.483398592155916	3	2	1	-6.79516855940405	0	455840
NET-002-T_2	chr1	17413121	121116678	0.432922154905203	2341	0.0743934516293862	0.995923659861224	100806	0.285209680045972	2	1	1	-6.79403481855878	0	103703557
NET-002-T_2	chr1	121354299	121485416	0.367596462533563	39	0.105335598892597	1.25966095889396	94	0.532247018388876	3	2	1	-6.74721548481705	0	131117
NET-002-T_2	chr1	142538277	144014068	0.328576489678772	78	0.100330937583066	1.16694717597277	292	0.666121141380542	3	2	1	-6.83457851331362	0	1475791
NET-002-T_2	chr1	144044056	145075854	0.414404089378687	119	0.0719840728003915	1.03124267759715	831	0.401176240803071	2	1	1	-6.73749214526178	0	1031798
NET-002-T_2	chr1	145075923	145285310	0.282698843041575	34	0.0726465879306655	1.18250241787272	292	0.435655452769445	4	3	1	-6.85034302241169	0	209387
NET-002-T_2	chr1	145290250	148003856	0.429114159208491	83	0.0673665112724611	0.971781589419829	2784	0.301148407539611	2	1	1	-6.78736616103117	0	2713606
NET-002-T_2	chr1	148010726	149726032	0.318931398111199	40	0.0895275025785301	0.98347656532	523	0.384128278972268	2	1	1	-7.31897802686802	0	1715306
NET-002-T_2	chr1	149726118	249212878	0.434292672605369	2708	0.0763027964975992	0.997330106173467	106006	0.286856425724143	2	1	1	-6.79019070256115	0	99486760
NET-002-T_2	chr2	668685	89459133	0.436918237295135	1334	0.0673788142920067	0.995198821637704	60826	0.278595780548689	2	1	1	-6.83154443128634	0	88790448
NET-002-T_2	chr2	89853161	91955375	0.338112584102791	148	0.117206670317146	1.16470509336729	793	0.690272519950321	3	2	1	-6.83135367303056	0	2102214
NET-002-T_2	chr2	92030431	92048877	0.435350523312112	18	0.0651369597802336	1.05355570366363	35	0.458895962285223	2	1	1	-6.81101183361194	0	18446
NET-002-T_2	chr2	92048948	92325258	0.29526630335347	197	0.128056843286098	1.10381819833799	460	0.59691328644179	4	3	1	-6.85337054989581	0	276310
NET-002-T_2	chr2	95528056	96611088	0.339090004204915	70	0.103825005066307	0.999947611070501	1232	0.34500440915497	2	1	1	-7.01327078370663	0	1083032
NET-002-T_2	chr2	96616348	132590911	0.427294379518437	776	0.0795579624953303	1.00180114536392	25572	0.299299568743167	2	1	1	-6.75666804249156	0	35974563
NET-002-T_2	chr2	132593294	133023033	0.30459164120057	150	0.110817096218578	1.15316457594812	393	0.673579746521082	3	2	1	-6.86789871334642	0	429739
NET-002-T_2	chr2	133024019	133029319	0.310017313796468	59	0.114569149450646	0.502568159848845	148	0.433938114199851	7	5	2	-6.79135610300451	0	5300
NET-002-T_2	chr2	133029339	133030078	0.339497730547318	12	0.187249691507615	1.15058893782743	29	0.831998285925669	6	4	2	-6.73372082197008	0	739
NET-002-T_2	chr2	133030310	133034811	0.319490734508325	14	0.129858185539643	1.02005011986281	128	0.302741668184311	3	2	1	-6.77629264575186	0	4501
NET-002-T_2	chr2	133036005	179262432	0.433467225021842	603	0.0792532450959186	0.985911563029963	27048	0.274291290507959	2	1	1	-6.85111697523756	0	46226427
NET-002-T_2	chr2	179263287	179315757	0.237586990920297	9	0.0912085522305886	0.996145968478504	111	0.339967352819063	5	4	1	-6.90644844159733	0	52470
NET-002-T_2	chr2	179318222	243005204	0.436385767382547	1494	0.0722749804514457	0.998236756498088	58529	0.277178468978086	2	1	1	-6.80356861342231	0	63686982
NET-002-T_2	chr3	361508	70175261	0.434157868064842	1336	0.0710393244760562	1.006369489546	63876	0.287809889261961	2	1	1	-6.81252947725459	0	69813753
NET-002-T_2	chr3	70175372	75707806	0.367182847113985	153	0.106674383750771	1.01327366709053	1879	0.415793225427009	2	1	1	-6.83924518009162	0	5532434
NET-002-T_2	chr3	75707817	89530057	0.326924532487633	510	0.102902557864788	1.15433225017619	3003	0.47091532788743	2	1	1	-7.80085537404157	0	13822240
NET-002-T_2	chr3	93592569	195346477	0.434873883814731	1890	0.0739417629465633	0.99095333464601	71213	0.282774243816209	2	1	1	-6.85361678150863	0	101753908
NET-002-T_2	chr3	195346906	195474312	0.296790419110638	64	0.115198809130129	1.21554737336077	276	0.569870873893136	4	3	1	-6.78528220368189	0	127406
NET-002-T_2	chr3	195475989	197846933	0.409044488530416	180	0.0846854581120186	1.00734814346783	4341	0.314407761704753	2	1	1	-6.7344071332118	0	2370944
NET-002-T_2	chr4	47622	85634	0.301476284437891	15	0.0975827853670923	1.06178406855036	118	0.443799937193803	4	3	1	-6.80011139069195	0	38012
NET-002-T_2	chr4	217740	49063872	0.426732511293477	921	0.0731877047334876	1.00207076870251	30031	0.298161365815926	2	1	1	-6.75952555657378	0	48846132
NET-002-T_2	chr4	49094867	49637540	0.315915856151215	181	0.110125955009938	1.2565638957684	451	0.648862421002715	3	2	1	-6.81027708181497	0	542673
NET-002-T_2	chr4	52714244	80247188	0.435521350256896	485	0.0649492889134053	0.981790615431661	16815	0.274331500052845	2	1	1	-6.8856671801944	0	27532944
NET-002-T_2	chr4	80247342	80274610	0.278698235217535	9	0.181638224073141	0.273201289346487	21	0.284844443763359	0	0	0	-7.05914855096593	1	27268
NET-002-T_2	chr4	80976420	103173749	0.43292140702756	427	0.077036652233155	0.981188917138131	12304	0.283918264997712	2	1	1	-6.83706483730374	0	22197329
NET-002-T_2	chr4	103174015	103810462	0.282773621053232	10	0.189592662774111	1.00746756715379	678	0.374281477121196	2	1	1	-6.99868788631566	0	636447
NET-002-T_2	chr4	104000498	154556427	0.433659876666619	548	0.0810305627795971	0.987068884219504	23621	0.274116139945321	2	1	1	-6.84425179669756	0	50555929
NET-002-T_2	chr4	154557394	161582189	0.341204740886965	130	0.0853626467196228	1.35425359416155	4157	0.406219579462058	3	2	1	-6.77303814940306	0	7024795
NET-002-T_2	chr4	162307060	189661346	0.439714830273096	300	0.0658574470605514	0.995733012052355	10984	0.279123914731312	2	1	1	-6.84326132794516	0	27354286
NET-002-T_2	chr4	189663354	191044220	0.324922965938683	78	0.13161852983504	1.03613733652549	350	0.453376032137318	2	1	1	-6.98839725496576	0	1380866
NET-002-T_2	chr5	163266	678062	0.411807541494428	23	0.0541377981245151	1.02042976236702	1258	0.309534450383007	2	1	1	-6.73434902495065	0	514796
NET-002-T_2	chr5	710802	1065051	0.294182933094883	31	0.0874996651299276	1.03809368086524	835	0.330710245701731	3	2	1	-7.16380319658782	0	354249
NET-002-T_2	chr5	1094389	44303769	0.43431958163622	491	0.0839582962114077	0.999538680106113	19797	0.288703120288033	2	1	1	-6.77619573362913	0	43209380
NET-002-T_2	chr5	49440702	97912225	0.435492484150906	697	0.0762919648529237	0.986285527268606	27669	0.276313309790905	2	1	1	-6.86242498032023	0	48471523
NET-002-T_2	chr5	97912247	97913539	0.250469210816562	22	0.100687119851032	1.36821017904132	52	0.58409092810333	16	12	4	-6.74185384235775	0	1292
NET-002-T_2	chr5	99871696	180710455	0.435176419601365	1541	0.072577654486709	1.00026343350699	62649	0.287342911285806	2	1	1	-6.7950109208683	0	80838759
NET-002-T_2	chr6	203878	27835026	0.436498318989298	548	0.0737867630107308	0.987208242993726	17460	0.288145717745995	2	1	1	-6.83276643672691	0	27631148
NET-002-T_2	chr6	27980381	29911912	0.303890626377163	12	0.122089727312135	1.01540645287839	2986	0.275188548698542	2	1	1	-7.17164435620216	0	1931531
NET-002-T_2	chr6	29911970	30940713	0.45732891774523	61	0.0371387076586865	0.998146494312607	3280	0.301250136729984	2	1	1	-7.52341082281002	0	1028743
NET-002-T_2	chr6	30945947	30955211	0.274133101975723	14	0.118386055943081	1.12564015698752	53	0.446262147407775	4	3	1	-6.73976282691421	0	9264
NET-002-T_2	chr6	30955681	31238522	0.449206217889797	71	0.0668709408967641	1.03981945872841	746	0.350322540061754	2	1	1	-6.91784226241344	0	282841
NET-002-T_2	chr6	31238728	31238995	0.199355777418382	9	0.171555465601588	1.68771280454896	15	0.892347839503557	11	9	2	-6.73345322427185	0	267
NET-002-T_2	chr6	31239050	32441193	0.426426623477048	282	0.0792970211700417	1.01378409852019	6018	0.307650438677911	2	1	1	-6.75497936650843	0	1202143
NET-002-T_2	chr6	32441198	32498208	0.30611182911152	59	0.145064557667583	1.63498632365819	116	0.663080109853974	4	3	1	-6.75644955961524	0	57010
NET-002-T_2	chr6	32498235	32525928	0.40950266547177	37	0.0659783384236155	1.26281113269262	72	0.522900258706721	2	1	1	-6.73702421680978	0	27693
NET-002-T_2	chr6	32546652	32627714	0.294858830161315	136	0.10057009148178	1.76619440073736	253	0.832786777570144	4	3	1	-6.75018436890494	0	81062
NET-002-T_2	chr6	32627795	33053942	0.397988822307625	254	0.0859070118783291	1.1214072884252	1370	0.472524658933408	2	1	1	-6.76335352386867	0	426147
NET-002-T_2	chr6	33053971	33054619	0.25994422335912	25	0.0824530775653644	1.96048518607803	38	0.894575543238499	12	9	3	-6.73346304716464	0	648
NET-002-T_2	chr6	33054656	57247022	0.435067868068185	642	0.0821697756842681	1.00284706291944	29080	0.282493469941723	2	1	1	-6.78248804188665	0	24192366
NET-002-T_2	chr6	57247093	58779409	0.348828991941703	127	0.0808496006035916	1.28456747163155	357	0.576808438965672	3	2	1	-6.75522615510082	0	1532316
NET-002-T_2	chr6	62442604	170891863	0.435048428898213	1521	0.0721263753987892	0.98887402554742	61113	0.282229870262948	2	1	1	-6.89561868484947	0	108449259
NET-002-T_2	chr7	296739	57882718	0.435298811610127	1237	0.0753822576416006	0.998645682112587	39398	0.293658672896758	2	1	1	-6.79182157193411	0	57585979
NET-002-T_2	chr7	57882725	57994249	0.168593798350624	11	0.152036359287687	0.958258783703756	25	0.917484844561478	1	1	0	-6.7504636853657	1	111524
NET-002-T_2	chr7	61083494	63563211	0.3322728122974	26	0.105451009405389	1.00412393376773	597	0.410015330918695	2	1	1	-7.0558928445963	0	2479717
NET-002-T_2	chr7	63563225	100366284	0.431590689249865	586	0.0807273030954714	0.990903313411421	27852	0.28803836792495	2	1	1	-6.79124937271151	0	36803059
NET-002-T_2	chr7	100488407	100647040	0.325116238429246	181	0.10506191135671	1.37930816410993	554	0.636570533223525	3	2	1	-6.77584066916319	0	158633
NET-002-T_2	chr7	100647073	141957943	0.437375877456502	689	0.0610383958854469	0.99129323174921	31702	0.281100087991625	2	1	1	-6.86096617251377	0	41310870
NET-002-T_2	chr7	142032552	142124629	0.223108684996972	10	0.169439894292276	1.09690918909553	98	0.593391062966276	5	4	1	-6.8085094182	0	92077
NET-002-T_2	chr7	142124637	142495308	0.350430475505916	155	0.0884511301783546	1.30010749975656	716	0.623144998175092	3	2	1	-6.73678192791291	0	370671
NET-002-T_2	chr7	142498687	158930751	0.436975842844831	377	0.0652402855065999	1.00609511128509	14373	0.28132903521466	2	1	1	-6.82610951590177	0	16432064
NET-002-T_2	chr8	182934	42882769	0.436978300959968	845	0.0728484514507229	0.993402889680208	30807	0.289957601334415	2	1	1	-6.81753652169733	0	42699835
NET-002-T_2	chr8	43092904	43827047	0.31282336676835	52	0.130626613740059	0.959457017252097	203	0.527302788441278	3	2	1	-7.00805962760323	0	734143
NET-002-T_2	chr8	46843735	146203412	0.436250729042069	1374	0.0737226240949494	0.998673508505057	53915	0.27863964086335	2	1	1	-6.80000215114791	0	99359677
NET-002-T_2	chr9	14764	33344252	0.169125952353581	384	0.0811344966320349	0.592207322217642	14722	0.19558638794342	1	1	0	-6.82144795279385	1	33329488
NET-002-T_2	chr9	33386167	33799329	0.342408267199319	78	0.116547836109891	0.713595686559209	742	0.393142316923717	2	1	1	-7.1154419960616	0	413162
NET-002-T_2	chr9	34087246	37745413	0.172669950258887	107	0.0798395234044088	0.596982845633608	7123	0.189129731607476	1	1	0	-6.73753246416738	1	3658167
NET-002-T_2	chr9	37778498	45729182	0.381685933436171	100	0.120409696243679	1.00719614837239	1357	0.326558709740548	2	1	1	-6.77246833191705	0	7950684
NET-002-T_2	chr9	65973404	69846587	0.314869071401665	382	0.115978247780813	1.16349010384812	1011	0.648963001647113	3	2	1	-6.98131330583513	0	3873183
NET-002-T_2	chr9	69847032	139906513	0.43920707463544	1747	0.0720665148985883	1.00476151231328	67081	0.283838503254587	2	1	1	-6.83071921255202	0	70059481
NET-002-T_2	chr9	139942812	139998169	0.309224318576926	31	0.104774791764276	1.10835824440326	385	0.330736210663986	3	2	1	-6.85372393358951	0	55357
NET-002-T_2	chr9	140051041	141069289	0.433266959499392	54	0.0801062187929762	1.0120318932902	2811	0.279379590028004	2	1	1	-6.77718351416903	0	1018248
NET-002-T_2	chr10	95229	38978223	0.427493206812967	675	0.0807195724521296	0.991297430081001	23011	0.286074570403171	2	1	1	-6.77750665681713	0	38882994
NET-002-T_2	chr10	39079289	39138198	0.301312605274174	31	0.102294798530774	2.17403482691657	52	1.05140822520712	7	5	2	-6.7364999114076	0	58909
NET-002-T_2	chr10	42356185	42776417	0.321771874278714	223	0.130896067284907	1.36900512481389	514	0.623263764096529	3	2	1	-6.76788366510245	0	420232
NET-002-T_2	chr10	42907201	74127853	0.425957564297157	585	0.0851751938759003	0.993793740063181	19417	0.285517406570156	2	1	1	-6.75860261173619	0	31220652
NET-002-T_2	chr10	74767575	78734472	0.234488073908909	14	0.184961014603286	0.983729426334408	3842	0.279918903562032	2	2	0	-7.04110910100302	1	3966897
NET-002-T_2	chr10	78771851	127541603	0.431849280849611	1092	0.0785889111072942	0.998757321459237	43282	0.297215943220833	2	1	1	-6.77258572129377	0	48769752
NET-002-T_2	chr10	127576287	127588032	0.28045896075411	25	0.11216233770745	1.46991810691308	44	0.773315366064273	4	3	1	-6.73383995286836	0	11745
NET-002-T_2	chr10	127705700	135438977	0.431335005850179	255	0.0698954253164008	1.02117722907257	5475	0.333782846839628	2	1	1	-6.79807157391522	0	7733277
NET-002-T_2	chr10	135439196	135500836	0.288965411214668	45	0.115811541442609	1.29193925000691	94	0.767236006433226	4	3	1	-6.74546228006751	0	61640
NET-002-T_2	chr11	193096	1016665	0.437260119799644	178	0.075071956425343	1.0442092450438	3738	0.324183303301747	2	1	1	-6.81038296872724	0	823569
NET-002-T_2	chr11	1016704	1213047	0.316637735886237	81	0.0978915893813403	1.13713168774939	807	0.388910149535952	3	2	1	-6.84936315492868	0	196343
NET-002-T_2	chr11	1213125	45230862	0.437772337104562	1227	0.0677885159349564	1.00535272659268	35928	0.29199775203618	2	1	1	-6.82907333460449	0	44017737
NET-002-T_2	chr11	47640337	51591346	0.326233270784107	182	0.0902547822440921	1.06122380117797	2655	0.364685529644257	2	1	1	-7.29057800034859	0	3951009
NET-002-T_2	chr11	56099349	56469047	0.334450664367702	40	0.0992226194228322	1.03343049542127	488	0.340522252546855	3	2	1	-6.92584522425413	0	369698
NET-002-T_2	chr11	57995330	134245284	0.437233536429543	2197	0.0707732855646349	1.00277742354703	85223	0.284913639960134	2	1	1	-6.81424372551689	0	76249954
NET-002-T_2	chr12	248071	7655278	0.442843279261975	395	0.0602396221762153	1.0184528754091	12146	0.296506750229068	2	1	1	-6.90575644572809	0	7407207
NET-002-T_2	chr12	7842932	11081826	0.402034953238412	221	0.0928171251255798	0.986473991427448	5696	0.304589133580824	2	1	1	-6.74345961876946	0	3238894
NET-002-T_2	chr12	11174168	11548625	0.295779021910081	58	0.0902115229600584	1.10514975658578	467	0.422525432969323	3	2	1	-7.03684050259584	0	374457
NET-002-T_2	chr12	12044195	34320002	0.440020452633901	498	0.0663664136182218	0.989216904438913	15601	0.291275883066174	2	1	1	-6.85853551892595	0	22275807
NET-002-T_2	chr12	38008641	42477570	0.446581967901268	88	0.081086534784155	0.98432775027774	2849	0.266112189233225	2	1	1	-6.85126869090555	0	4468929
NET-002-T_2	chr12	42478001	42854208	0.328614476153357	20	0.133149490581471	1.00422697427401	568	0.274674921212685	2	1	1	-6.95824868081636	0	376207
NET-002-T_2	chr12	42859961	58217356	0.438288695715377	768	0.0634087372816799	1.00735189262092	31899	0.292976917826609	2	1	1	-6.8421921840563	0	15357395
NET-002-T_2	chr12	58217412	62988915	0.34797907769374	31	0.124664176848232	1.00718608242626	1376	0.288294888372537	2	1	1	-6.88776557038978	0	4771503
