Sample	ID	Chromosome	Start.bp	End.bp	num.mark	seg.mean.a	seg.mean.b	modal_A1	modal_A2	LOH	length
BON1-70-purity	BON1_baseline_ploidy3.vcf.gz_dna	1	665058	12888601	78	0.0478	0.9522	0	3	1	12223543
BON1-70-purity	BON1_baseline_ploidy3.vcf.gz_dna	1	15904318	16384784	18	0.0256	0.9744	0	3	1	480466
BON1-70-purity	BON1_baseline_ploidy3.vcf.gz_dna	1	17299014	26377880	31	0.0229	0.9771	0	3	1	9078866
BON1-70-purity	BON1_baseline_ploidy3.vcf.gz_dna	1	26664968	120165826	119	0.0468	0.9532	0	3	1	93500858
BON1-70-purity	BON1_baseline_ploidy3.vcf.gz_dna	1	150531050	248525638	195	0.0557	0.9443	0	3	1	97994588
BON1-70-purity	BON1_baseline_ploidy3.vcf.gz_dna	2	903583	24524958	26	0.053	0.947	0	3	1	23621375
BON1-70-purity	BON1_baseline_ploidy3.vcf.gz_dna	2	98128135	98128258	9	0.0533	0.9467	0	3	1	123
BON1-70-purity	BON1_baseline_ploidy3.vcf.gz_dna	2	99773201	100917109	6	0.1203	0.8797	0	3	1	1143908
BON1-70-purity	BON1_baseline_ploidy3.vcf.gz_dna	2	108442277	108487901	7	0.0678	0.9322	0	3	1	45624
BON1-70-purity	BON1_baseline_ploidy3.vcf.gz_dna	3	449563	10059436	10	0.027	0.973	0	3	1	9609873
BON1-70-purity	BON1_baseline_ploidy3.vcf.gz_dna	3	10276163	75480039	93	0.0336	0.9664	0	3	1	65203876
BON1-70-purity	BON1_baseline_ploidy3.vcf.gz_dna	3	97851998	129035969	47	0.0384	0.9616	0	3	1	31183971
BON1-70-purity	BON1_baseline_ploidy3.vcf.gz_dna	3	129817239	195241806	79	0.0485	0.9515	0	3	1	65424567
BON1-70-purity	BON1_baseline_ploidy3.vcf.gz_dna	4	1019795	48037926	49	0.0533	0.9467	0	3	1	47018131
BON1-70-purity	BON1_baseline_ploidy3.vcf.gz_dna	4	55162534	187630590	92	0.0738	0.9262	0	3	1	132468056
BON1-70-purity	BON1_baseline_ploidy3.vcf.gz_dna	6	2664828	29911154	45	0.0466	0.9534	0	3	1	27246326
BON1-70-purity	BON1_baseline_ploidy3.vcf.gz_dna	6	29911970	32522744	35	0.0683	0.9317	0	3	1	2610774
BON1-70-purity	BON1_baseline_ploidy3.vcf.gz_dna	6	32713828	56420538	58	0.07	0.93	0	3	1	23706710
BON1-70-purity	BON1_baseline_ploidy3.vcf.gz_dna	6	66039458	136516257	52	0.0417	0.9583	0	3	1	70476799
BON1-70-purity	BON1_baseline_ploidy3.vcf.gz_dna	6	136664061	168349011	32	0.0604	0.9396	0	3	1	31684950
BON1-70-purity	BON1_baseline_ploidy3.vcf.gz_dna	6	168377309	170713951	5	0.0263	0.9737	0	3	1	2336642
BON1-70-purity	BON1_baseline_ploidy3.vcf.gz_dna	7	100636408	100647638	31	0.0977	0.9023	0	3	1	11230
BON1-70-purity	BON1_baseline_ploidy3.vcf.gz_dna	8	1652939	1654818	4	0.0432	0.9568	0	3	1	1879
BON1-70-purity	BON1_baseline_ploidy3.vcf.gz_dna	8	7215694	7218752	3	0.0278	0.9722	0	3	1	3058
BON1-70-purity	BON1_baseline_ploidy3.vcf.gz_dna	8	11995433	12039902	6	0.0437	0.9563	0	3	1	44469
BON1-70-purity	BON1_baseline_ploidy3.vcf.gz_dna	9	449798	33026572	17	0.0488	0.9512	0	3	1	32576774
BON1-70-purity	BON1_baseline_ploidy3.vcf.gz_dna	9	33817617	41953700	25	0.0684	0.9316	0	3	1	8136083
BON1-70-purity	BON1_baseline_ploidy3.vcf.gz_dna	9	70176768	141071475	152	0.0565	0.9435	0	3	1	70894707
BON1-70-purity	BON1_baseline_ploidy3.vcf.gz_dna	10	27687965	27702256	3	0.0289	0.9711	0	3	1	14291
BON1-70-purity	BON1_baseline_ploidy3.vcf.gz_dna	11	127380	823809	11	0.0554	0.9446	0	3	1	696429
BON1-70-purity	BON1_baseline_ploidy3.vcf.gz_dna	11	1483177	48238880	92	0.0594	0.9406	0	3	1	46755703
BON1-70-purity	BON1_baseline_ploidy3.vcf.gz_dna	11	55595324	133786945	141	0.065	0.935	0	3	1	78191621
BON1-70-purity	BON1_baseline_ploidy3.vcf.gz_dna	12	63544209	63953582	4	0.0113	0.9887	0	3	1	409373
BON1-70-purity	BON1_baseline_ploidy3.vcf.gz_dna	14	37149136	37149210	4	0.008	0.992	0	3	1	74
BON1-70-purity	BON1_baseline_ploidy3.vcf.gz_dna	14	70924501	70926573	4	0.0204	0.9796	0	3	1	2072
BON1-70-purity	BON1_baseline_ploidy3.vcf.gz_dna	16	74656360	74750396	5	0.011	0.989	0	3	1	94036
BON1-70-purity	BON1_baseline_ploidy3.vcf.gz_dna	17	62526	15879910	73	0.0384	0.9616	0	3	1	15817384
BON1-70-purity	BON1_baseline_ploidy3.vcf.gz_dna	17	26880657	45197296	71	0.0533	0.9467	0	3	1	18316639
BON1-70-purity	BON1_baseline_ploidy3.vcf.gz_dna	17	45221273	45221318	6	0.0917	0.9083	0	3	1	45
BON1-70-purity	BON1_baseline_ploidy3.vcf.gz_dna	17	45234343	45234420	6	0.1283	0.8717	0	3	1	77
BON1-70-purity	BON1_baseline_ploidy3.vcf.gz_dna	17	45234663	45234673	4	0.1456	0.8544	0	3	1	10
BON1-70-purity	BON1_baseline_ploidy3.vcf.gz_dna	17	45234678	45234749	11	0.0757	0.9243	0	3	1	71
BON1-70-purity	BON1_baseline_ploidy3.vcf.gz_dna	17	45899057	80788492	80	0.0404	0.9596	0	3	1	34889435
BON1-70-purity	BON1_baseline_ploidy3.vcf.gz_dna	18	346821	15316707	16	0.0625	0.9375	0	3	1	14969886
BON1-70-purity	BON1_baseline_ploidy3.vcf.gz_dna	18	19154143	47117374	33	0.022	0.978	0	3	1	27963231
BON1-70-purity	BON1_baseline_ploidy3.vcf.gz_dna	18	47402162	77927112	42	0.0525	0.9475	0	3	1	30524950
BON1-70-purity	BON1_baseline_ploidy3.vcf.gz_dna	19	43857873	43860255	4	0.0983	0.9017	0	3	1	2382
BON1-70-purity	BON1_baseline_ploidy3.vcf.gz_dna	19	58281192	58374130	4	0.0637	0.9363	0	3	1	92938
BON1-70-purity	BON1_baseline_ploidy3.vcf.gz_dna	20	25039046	25433447	7	0.0382	0.9618	0	3	1	394401
BON1-70-purity	BON1_baseline_ploidy3.vcf.gz_dna	20	61892057	61892512	3	0.0051	0.9949	0	3	1	455
BON1-70-purity	BON1_baseline_ploidy3.vcf.gz_dna	21	45978090	46021390	15	0.1031	0.8969	0	3	1	43300
BON1-70-purity	BON1_baseline_ploidy3.vcf.gz_dna	22	16449050	18762636	6	0.0315	0.9685	0	3	1	2313586
BON1-70-purity	BON1_baseline_ploidy3.vcf.gz_dna	22	19836705	21637534	12	0.0543	0.9457	0	3	1	1800829
BON1-70-purity	BON1_baseline_ploidy3.vcf.gz_dna	22	21802070	51017082	131	0.0582	0.9418	0	3	1	29215012
Sample	ID	Chromosome	Start.bp	End.bp	num.mark	seg.mean.a	seg.mean.b	modal_A1	modal_A2	LOH	length
QGP1-70-purity	QGP1_baseline_ploidy4.vcf.gz_dna	1	150039678	152186222	16	0.1489	0.8511	0	4	1	2146544
QGP1-70-purity	QGP1_baseline_ploidy4.vcf.gz_dna	1	152190477	152975116	12	0.0953	0.9047	0	4	1	784639
QGP1-70-purity	QGP1_baseline_ploidy4.vcf.gz_dna	1	154916992	155904177	12	0.1023	0.8977	0	4	1	987185
QGP1-70-purity	QGP1_baseline_ploidy4.vcf.gz_dna	1	192781172	197112533	7	0.0954	0.9046	0	4	1	4331361
QGP1-70-purity	QGP1_baseline_ploidy4.vcf.gz_dna	1	201177246	201180501	4	0.0168	0.9832	0	4	1	3255
QGP1-70-purity	QGP1_baseline_ploidy4.vcf.gz_dna	2	18744332	20823724	5	0.0727	0.9273	0	4	1	2079392
QGP1-70-purity	QGP1_baseline_ploidy4.vcf.gz_dna	2	55199931	55516911	5	0.0939	0.9061	0	4	1	316980
QGP1-70-purity	QGP1_baseline_ploidy4.vcf.gz_dna	2	179330468	179579093	2	0.0224	0.9776	0	4	1	248625
QGP1-70-purity	QGP1_baseline_ploidy4.vcf.gz_dna	2	179605180	180810180	5	0.0101	0.9899	0	4	1	1205000
QGP1-70-purity	QGP1_baseline_ploidy4.vcf.gz_dna	3	47125385	55544294	24	0.1271	0.8729	0	4	1	8418909
QGP1-70-purity	QGP1_baseline_ploidy4.vcf.gz_dna	4	113198805	113198888	4	0.0065	0.9935	0	4	1	83
QGP1-70-purity	QGP1_baseline_ploidy4.vcf.gz_dna	5	38476624	38940246	6	0.1287	0.8713	0	4	1	463622
QGP1-70-purity	QGP1_baseline_ploidy4.vcf.gz_dna	5	112175770	112439941	6	0.0179	0.9821	0	4	1	264171
QGP1-70-purity	QGP1_baseline_ploidy4.vcf.gz_dna	5	140174622	140221139	11	0.0053	0.9947	0	4	1	46517
QGP1-70-purity	QGP1_baseline_ploidy4.vcf.gz_dna	6	29855950	30037990	7	0.0403	0.9597	0	4	1	182040
QGP1-70-purity	QGP1_baseline_ploidy4.vcf.gz_dna	6	30899571	30921417	4	0.0144	0.9856	0	4	1	21846
QGP1-70-purity	QGP1_baseline_ploidy4.vcf.gz_dna	6	31371430	32632749	35	0.1432	0.8568	0	4	1	1261319
