Sample	Chromosome	Start.bp	End.bp	modal_A2f	N.modal_A2modal_A1F	sd.modal_A2modal_A1F	depth.ratio	N.ratio	sd.ratio	CNt	modal_A1	modal_A2	LPP	LOH	length
NET-001-T_2	chr1	133483	1574076	0.156295821684881	102	0.0515812901100732	0.772085192037058	3337	0.248288965387079	2	2	0	-6.75836504170565	1	1440593
NET-001-T_2	chr1	1575836	1666175	0.391340556842469	48	0.10908999594973	0.823757087401768	499	0.322714805254451	2	1	1	-6.78661650198965	0	90339
NET-001-T_2	chr1	1749224	12854544	0.150467415863708	394	0.0593443184880442	0.792534147943782	15739	0.26482829712332	2	2	0	-6.76156444622257	1	11105320
NET-001-T_2	chr1	12907136	13183973	0.400625988268177	30	0.091047518223797	0.897083866703023	181	0.444921533973681	2	1	1	-6.78205962294474	0	276837
NET-001-T_2	chr1	13802019	16314864	0.144833456218582	106	0.0485242300142166	0.821212277268511	2852	0.341580402986938	2	2	0	-6.76477268847383	1	2512845
NET-001-T_2	chr1	16333569	16778265	0.218944926558578	84	0.100740325426085	0.768632063682495	1406	0.249029137977948	2	2	0	-6.97401589525954	1	444696
NET-001-T_2	chr1	16804745	17197715	0.334523223492519	153	0.117152731380452	1.01540866695154	877	0.507704557500413	3	2	1	-6.78751713173877	0	392970
NET-001-T_2	chr1	17197801	21625357	0.147385558140322	214	0.0562984596907925	0.787806614891034	6712	0.294665189368602	2	2	0	-6.75938768067738	1	4427556
NET-001-T_2	chr1	21738259	21808223	0.290464720053154	35	0.149688932358369	0.80965833121599	214	0.375580831767039	4	3	1	-6.81305451257909	0	69964
NET-001-T_2	chr1	21896767	59042882	0.159186873500888	877	0.0604349801538617	0.788775631933465	51392	0.247145881959162	2	2	0	-6.89179369571234	1	37146115
NET-001-T_2	chr1	59096045	59096693	0.359739921314479	23	0.0389238640640403	1.23121094201371	35	0.450987484221425	17	11	6	-6.73760770122541	0	648
NET-001-T_2	chr1	59120563	68627269	0.15472449577987	130	0.0522038342468972	0.822160426646369	6940	0.252744734959691	2	2	0	-6.77036118787062	1	9506706
NET-001-T_2	chr1	68627546	68628780	0.372307590001683	33	0.101579859239075	1.06719404700323	57	0.427963897711432	3	2	1	-6.73378483914448	0	1234
NET-001-T_2	chr1	68943665	117122130	0.154589905996445	634	0.0565592336665968	0.812526668452661	33861	0.252017731359313	2	2	0	-6.76744605449253	1	48178465
NET-001-T_2	chr1	117142613	117156490	0.362537060725853	13	0.103781822428914	1.09573942137701	59	0.618011343306799	3	2	1	-6.73515170727337	0	13877
NET-001-T_2	chr1	117236970	120529750	0.159205676252446	88	0.0483480286095351	0.801396042083078	3490	0.254974636124934	2	2	0	-6.73806831966021	1	3292780
NET-001-T_2	chr1	120535421	121485416	0.341993005400997	41	0.0941189439473058	0.901145004910874	482	0.461172909769058	3	2	1	-6.87052408814618	0	949995
NET-001-T_2	chr1	142536017	143443741	0.3483295971578	57	0.109380443652575	1.08306634800673	220	0.644419985494275	3	2	1	-6.75377996787901	0	907724
NET-001-T_2	chr1	143484949	143767547	0.218355745523415	13	0.10107258118138	1.13593137935979	38	0.652871999004342	5	4	1	-6.82999371308863	0	282598
NET-001-T_2	chr1	143767628	145075923	0.405011286940522	124	0.0873869533124458	0.882942251333646	903	0.337307410279078	2	1	1	-6.81886533873661	0	1308295
NET-001-T_2	chr1	145076161	145369322	0.293003762937338	55	0.109871755668155	0.935421922832931	393	0.503034316447609	4	3	1	-6.82968506008128	0	293161
NET-001-T_2	chr1	145438581	146516199	0.130862845814729	35	0.0515766542197553	0.825439286815978	1615	0.301104001667829	2	2	0	-6.86730109872604	1	1077618
NET-001-T_2	chr1	146516341	147567045	0.171525969013824	45	0.0406545312245869	0.744754554998873	1059	0.232338527836269	2	2	0	-6.89993467536227	1	1050704
NET-001-T_2	chr1	147706592	149726118	0.345530278061499	53	0.113880784557523	0.834090968835569	595	0.373409274269405	2	1	1	-7.01579808401113	0	2019526
NET-001-T_2	chr1	149858520	201123144	0.161667591924156	1133	0.060766272294361	0.792806184325782	60764	0.249149354096636	2	2	0	-6.86202238732762	1	51264624
NET-001-T_2	chr1	201178788	201180153	0.404830819650781	9	0.0580225052122977	1.00495554394446	29	0.59693638215054	5	3	2	-6.73398267706812	0	1365
NET-001-T_2	chr1	201180162	206239403	0.156986365744925	266	0.0508336719842793	0.794429511012851	10055	0.279881383040419	2	2	0	-6.74120941302638	1	5059241
NET-001-T_2	chr1	206239415	206580084	0.316172136541655	9	0.0928526311480246	0.868104008907086	173	0.340379736029565	3	2	1	-7.00453910771537	0	340669
NET-001-T_2	chr1	206592816	249230822	0.157016447302877	942	0.0575012647335813	0.813208013228507	36472	0.266887708292072	2	2	0	-6.76626584542982	1	42638006
NET-001-T_2	chr2	672740	85614558	0.154840947716458	1362	0.0561416300381544	0.808336901767722	58331	0.264125877039435	2	2	0	-6.74220751103997	1	84941818
NET-001-T_2	chr2	85622059	90260218	0.16181188296742	148	0.0748750690807521	0.819960489353295	4548	0.317706110075273	2	2	0	-6.74654353826588	1	4638159
NET-001-T_2	chr2	90458594	92321788	0.385465519473919	168	0.10607245275668	0.980898287692097	573	0.505027039694594	3	2	1	-6.79093380013329	0	1863194
NET-001-T_2	chr2	95527879	96616348	0.310082863592942	75	0.0992703052957606	0.823857917360816	1290	0.324431758195911	3	2	1	-7.36781410469859	0	1088469
NET-001-T_2	chr2	96616354	96619873	0.412429992017166	41	0.0578251780759229	1.116766540222	67	0.384959933773092	7	4	3	-6.74092211703526	0	3519
NET-001-T_2	chr2	96781257	97463529	0.148793436167227	16	0.0703396521648115	0.782951864620879	1788	0.227536670233092	2	2	0	-6.74425390150088	1	682272
NET-001-T_2	chr2	97817469	97877478	0.355420574348678	35	0.0786579660953174	0.942782821834531	146	0.472119503868379	3	2	1	-6.75321653053967	0	60009
NET-001-T_2	chr2	98128150	128944424	0.16223861977286	530	0.0617289419836255	0.80682983160371	20138	0.261502417054949	2	2	0	-6.74173055062844	1	30816274
NET-001-T_2	chr2	129023282	132592178	0.165082922766399	94	0.0979239266038181	0.818235833999434	2533	0.310965440797687	2	2	0	-6.74468222594158	1	3568896
NET-001-T_2	chr2	132860794	133095074	0.346696205338292	245	0.107734053249231	1.09355008746483	728	0.579956987538001	3	2	1	-6.75800467517947	0	234280
NET-001-T_2	chr2	133489601	186671912	0.152565947367034	564	0.0536482307023814	0.817585620580533	34741	0.243879586848667	2	2	0	-6.85152541126767	1	53182311
NET-001-T_2	chr2	186672527	186940333	0.364426527972738	9	0.155301320020147	0.811966039002253	96	0.229263567152926	2	1	1	-6.82026244324949	0	267806
NET-001-T_2	chr2	187368733	242842382	0.154582244573886	1030	0.0563864977466978	0.802289708727418	51992	0.248738549158691	2	2	0	-6.74153323886354	1	55473649
NET-001-T_2	chr3	239245	51936949	0.157080526034129	876	0.0517033641994102	0.795752643354558	49202	0.248153129392573	2	2	0	-6.80729265378677	1	51697704
NET-001-T_2	chr3	51975945	52864860	0.168517254402872	97	0.0464544196107816	0.771466090990719	4241	0.194329028316501	2	2	0	-6.80860006339475	1	888915
NET-001-T_2	chr3	52867595	75679322	0.158018194848532	236	0.0570284324036367	0.800914888680234	12691	0.249467504739028	2	2	0	-6.74165282820664	1	22811727
NET-001-T_2	chr3	75679351	75781421	0.334618994941024	270	0.0887103776502505	1.43710627991979	483	0.679681594785591	6	4	2	-6.77062197125503	0	102070
NET-001-T_2	chr3	75781436	75792621	0.394961223569681	172	0.0823904823900631	1.15935775401377	276	0.400887685176886	5	3	2	-6.74421360388824	0	11185
NET-001-T_2	chr3	75792657	90291119	0.248305670029178	72	0.117052526730885	0.828458180364768	2487	0.236063339854264	2	2	0	-7.21202424650675	1	14498462
NET-001-T_2	chr3	93593119	150915582	0.153615937072254	1023	0.0563579472290171	0.809752346601828	44961	0.260098369991713	2	2	0	-6.74767652029618	1	57322463
NET-001-T_2	chr3	151011944	172165727	0.148297576132348	192	0.0490388231266562	0.824655918067252	10968	0.271676424851544	2	2	0	-6.83840411663864	1	21153783
NET-001-T_2	chr3	172223262	195346282	0.157184703098231	425	0.0545315401205993	0.806112544667387	16959	0.260113820123197	2	2	0	-6.73400644175723	1	23123020
NET-001-T_2	chr3	195346352	195515387	0.330575380790378	74	0.124005681755869	0.803968586201327	518	0.34539035686404	3	2	1	-6.86392751327682	0	169035
NET-001-T_2	chr3	195594950	197762623	0.203085525617653	109	0.0939143503346361	0.792345637769594	3877	0.247579647734742	2	2	0	-6.89124211748909	1	2167673
NET-001-T_2	chr4	47658	2090408	0.427781155931627	145	0.0862543779776222	1.33042895010002	4799	0.364086684973742	4	2	2	-6.7390257487357	0	2042750
NET-001-T_2	chr4	2092346	2438492	0.30652374853042	9	0.228481278104891	1.33574561250283	583	0.383240226010811	4	3	1	-6.73486615873103	0	346146
NET-001-T_2	chr4	2439738	3526786	0.457834009793342	53	0.0369666915542931	1.3191498341397	2620	0.382436668234316	4	2	2	-7.20193685022535	0	1087048
NET-001-T_2	chr4	3589417	4249414	0.365582087972271	58	0.0790079923514982	1.64360325421429	256	0.873294837116137	6	4	2	-6.75967025250883	0	659997
NET-001-T_2	chr4	4249620	28372227	0.453851097593366	336	0.0594671147020596	1.36495700448152	12189	0.381804221489204	4	2	2	-6.88119266161731	0	24122607
NET-001-T_2	chr4	28394761	33522197	0.2536427191031	9	0.230950451636517	1.32458151978419	349	0.53246590914914	4	3	1	-6.76100455300326	0	5127436
NET-001-T_2	chr4	35110710	48566843	0.451364643975964	283	0.0631680452420667	1.36775861542043	9408	0.373567979749207	4	2	2	-6.84482267950543	0	13456133
NET-001-T_2	chr4	48569343	49245009	0.359459826909441	38	0.116976028230806	1.33217651009231	572	0.401455308470054	3	2	1	-6.842407014956	0	675666
NET-001-T_2	chr4	49264497	49560048	0.288336485883098	19	0.115641915547862	1.01650548334957	61	0.485613860858526	4	3	1	-6.79896046079193	0	295551
NET-001-T_2	chr4	53728524	79531381	0.456294108531583	541	0.0601192631583034	1.35137566931116	16274	0.368422446920641	4	2	2	-6.90732065525391	0	25802857
NET-001-T_2	chr4	80198813	80905990	0.37224897271506	12	0.0885339773844774	1.36087886159558	259	0.399136253421444	3	2	1	-6.86941116307529	0	707177
NET-001-T_2	chr4	80906131	159569765	0.452813031596695	1052	0.0620203689496618	1.35739162400075	41530	0.369469280221935	4	2	2	-6.86254064042916	0	78663634
NET-001-T_2	chr4	159588139	163906170	0.350202950440622	9	0.198805879635834	1.34491418478837	1101	0.354518560901887	4	3	1	-6.78069121236245	0	4318031
NET-001-T_2	chr4	164245053	189552279	0.455100818165021	314	0.0513826994559658	1.35981725307782	11153	0.375044303823253	4	2	2	-6.94519061690495	0	25307226
NET-001-T_2	chr4	189552473	191044226	0.324747636954111	91	0.112454973759817	1.41331114131058	419	0.62250712923108	4	3	1	-6.77587527976596	0	1491753
NET-001-T_2	chr5	140532	796064	0.437428344380346	127	0.0652977336953342	1.38989255202962	1597	0.44734551033045	4	2	2	-6.75912189706974	0	655532
NET-001-T_2	chr5	796272	843815	0.31050424266406	14	0.0769429644621247	1.52212654911615	128	0.598205913460502	7	5	2	-6.74373606499365	0	47543
NET-001-T_2	chr5	851207	6827854	0.446005192380899	139	0.086703948615118	1.35851186188856	3239	0.410230168260133	4	2	2	-6.77149200624044	0	5976647
NET-001-T_2	chr5	7291461	7291602	0.240731891232152	9	0.0412098289246631	2.37381264679356	12	0.884208167420621	1	1	0	-6.73884741619537	1	141
NET-001-T_2	chr5	7303661	45695725	0.449428196949232	358	0.0875132505319561	1.35843558795235	17908	0.370446487970177	4	2	2	-6.78395681300693	0	38392064
NET-001-T_2	chr5	49692043	97912184	0.447198040087657	510	0.0740916180202424	1.35466252330677	28620	0.358880568120784	4	2	2	-6.79653490285008	0	48220141
NET-001-T_2	chr5	97912219	97912468	0.233697115608196	10	0.0679157157397641	2.5559313884954	15	1.27034879724691	18	14	4	-6.73352320205794	0	249
NET-001-T_2	chr5	97912487	180710469	0.44730181060063	1494	0.0776785532900618	1.33828230704487	64155	0.374092850385179	4	2	2	-6.88763254016317	0	82797982
NET-001-T_2	chr6	335251	367552	0.413082520082692	13	0.0457627661885814	0.942105482490462	111	0.260653457796794	2	1	1	-6.77402544450536	0	32301
