chromosome	start.pos	end.pos	Bf	N.BAF	sd.BAF	depth.ratio	N.ratio	sd.ratio	CNt	A	B	LPP
chr1	133483	1574076	0.156295821684881	102	0.0515812901100732	0.772085192037058	3337	0.248288965387079	2	2	0	-6.75836504170565
chr1	1575836	1666175	0.391340556842469	48	0.10908999594973	0.823757087401768	499	0.322714805254451	2	1	1	-6.78661650198965
chr1	1749224	12854544	0.150467415863708	394	0.0593443184880442	0.792534147943782	15739	0.26482829712332	2	2	0	-6.76156444622257
chr1	12907136	13183973	0.400625988268177	30	0.091047518223797	0.897083866703023	181	0.444921533973681	2	1	1	-6.78205962294474
chr1	13802019	16314864	0.144833456218582	106	0.0485242300142166	0.821212277268511	2852	0.341580402986938	2	2	0	-6.76477268847383
chr1	16333569	16778265	0.218944926558578	84	0.100740325426085	0.768632063682495	1406	0.249029137977948	2	2	0	-6.97401589525954
chr1	16804745	17197715	0.334523223492519	153	0.117152731380452	1.01540866695154	877	0.507704557500413	3	2	1	-6.78751713173877
chr1	17197801	21625357	0.147385558140322	214	0.0562984596907925	0.787806614891034	6712	0.294665189368602	2	2	0	-6.75938768067738
chr1	21738259	21808223	0.290464720053154	35	0.149688932358369	0.80965833121599	214	0.375580831767039	4	3	1	-6.81305451257909
chr1	21896767	59042882	0.159186873500888	877	0.0604349801538617	0.788775631933465	51392	0.247145881959162	2	2	0	-6.89179369571234
chr1	59096045	59096693	0.359739921314479	23	0.0389238640640403	1.23121094201371	35	0.450987484221425	17	11	6	-6.73760770122541
chr1	59120563	68627269	0.15472449577987	130	0.0522038342468972	0.822160426646369	6940	0.252744734959691	2	2	0	-6.77036118787062
chr1	68627546	68628780	0.372307590001683	33	0.101579859239075	1.06719404700323	57	0.427963897711432	3	2	1	-6.73378483914448
chr1	68943665	117122130	0.154589905996445	634	0.0565592336665968	0.812526668452661	33861	0.252017731359313	2	2	0	-6.76744605449253
chr1	117142613	117156490	0.362537060725853	13	0.103781822428914	1.09573942137701	59	0.618011343306799	3	2	1	-6.73515170727337
chr1	117236970	120529750	0.159205676252446	88	0.0483480286095351	0.801396042083078	3490	0.254974636124934	2	2	0	-6.73806831966021
chr1	120535421	121485416	0.341993005400997	41	0.0941189439473058	0.901145004910874	482	0.461172909769058	3	2	1	-6.87052408814618
chr1	142536017	143443741	0.3483295971578	57	0.109380443652575	1.08306634800673	220	0.644419985494275	3	2	1	-6.75377996787901
chr1	143484949	143767547	0.218355745523415	13	0.10107258118138	1.13593137935979	38	0.652871999004342	5	4	1	-6.82999371308863
chr1	143767628	145075923	0.405011286940522	124	0.0873869533124458	0.882942251333646	903	0.337307410279078	2	1	1	-6.81886533873661
chr1	145076161	145369322	0.293003762937338	55	0.109871755668155	0.935421922832931	393	0.503034316447609	4	3	1	-6.82968506008128
chr1	145438581	146516199	0.130862845814729	35	0.0515766542197553	0.825439286815978	1615	0.301104001667829	2	2	0	-6.86730109872604
chr1	146516341	147567045	0.171525969013824	45	0.0406545312245869	0.744754554998873	1059	0.232338527836269	2	2	0	-6.89993467536227
chr1	147706592	149726118	0.345530278061499	53	0.113880784557523	0.834090968835569	595	0.373409274269405	2	1	1	-7.01579808401113
chr1	149858520	201123144	0.161667591924156	1133	0.060766272294361	0.792806184325782	60764	0.249149354096636	2	2	0	-6.86202238732762
chr1	201178788	201180153	0.404830819650781	9	0.0580225052122977	1.00495554394446	29	0.59693638215054	5	3	2	-6.73398267706812
chr1	201180162	206239403	0.156986365744925	266	0.0508336719842793	0.794429511012851	10055	0.279881383040419	2	2	0	-6.74120941302638
chr1	206239415	206580084	0.316172136541655	9	0.0928526311480246	0.868104008907086	173	0.340379736029565	3	2	1	-7.00453910771537
chr1	206592816	249230822	0.157016447302877	942	0.0575012647335813	0.813208013228507	36472	0.266887708292072	2	2	0	-6.76626584542982
chr2	672740	85614558	0.154840947716458	1362	0.0561416300381544	0.808336901767722	58331	0.264125877039435	2	2	0	-6.74220751103997
chr2	85622059	90260218	0.16181188296742	148	0.0748750690807521	0.819960489353295	4548	0.317706110075273	2	2	0	-6.74654353826588
chr2	90458594	92321788	0.385465519473919	168	0.10607245275668	0.980898287692097	573	0.505027039694594	3	2	1	-6.79093380013329
